tipo_de_procedimiento,estado,codigo_sigaf,publicacion,cierre,ultima_actualizacion,alcaldia,detalles_procedimiento
CONTRATACION SIMPLIFICADA,Adjudicado,,07/02/2020,11/02/2020 10:00:00 AM,27/02/2020 03:53:28 PM,Matagalpa (Alcaldía Matagalpa) - Unidad de Adquisición MATAGALPA,"Materia prima en placas o barras labradas (31230000), Instalaciones de tubos y entubamientos (40170000), Adhesivos y selladores (31200000)
compra de materiales para el proyecto PROGRAMA BISMARCK MARTÍNEZ - LOTIFICACION HEROES DE LA PAZ"
LICITACION PUBLICA,Ejecución,,20/07/2021,19/08/2021 09:00:00 AM,15/10/2021 04:30:59 PM,Managua (Alcaldía Managua) - Unidad de Adquisición MANAGUA,"Servicios de construcción de edificaciones residenciales (72110000)
CONSTRUCCIÓN DE TERRAZAS, CALLES Y AVENIDAS EN PROGRAMA BISMARCK MARTÍNEZ VIVIENDA SOCIAL URBANIZACIÓN VILLA ESPERANZA."
COMPRA POR COTIZACION MENOR,Ejecución,,22/07/2021,26/07/2021 10:00:00 AM,05/08/2021 03:51:01 PM,Ciudad Sandino (Alcaldía Ciudad Sandino) - Unidad de Adquisiciones Alcaldia Ciudad Sandino,"Servicios de mantenimiento y reparaciones de construcciones e instalaciones (72100000)
Mantenimiento en Infraestructura del programa Bismarck Martínez."
COMPRA POR COTIZACION MENOR,Ejecución,,07/06/2021,09/06/2021 09:00:00 AM,23/07/2021 11:41:22 AM,San Marcos (Alcaldía San Marcos) - Unidad de Adquisición SAN MARCOS,"Instalaciones de tubos y entubamientos (40170000)
Compra de materiales para instalación de la red de agua potable en el programa Bismarck Martínez."
COMPRA POR COTIZACION MENOR,Adjudicado,,24/06/2021,29/06/2021 09:00:00 AM,07/07/2021 03:30:07 PM,Chinandega (Alcaldía Chinandega) - Unidad de Adquisiciones Chinandega,"Transporte de personas, correo y carga (78100000)
Construcción de vivienda digna programa Bismarck Martínez (Transporte de material block- on)"
CONTRATACION SIMPLIFICADA,Adjudicado,,03/03/2021,05/03/2021 02:00:00 PM,12/03/2021 03:36:15 PM,Chinandega (Alcaldía Chinandega) - Unidad de Adquisiciones Chinandega,"Servicios inmobiliarios (80130000), Parcelas de tierra (95100000)
Compra de terreno para el programa Bismarck Martínez III Etapa"
COMPRA POR COTIZACION MAYOR,Ejecución,,13/04/2021,20/04/2021 10:00:00 AM,28/12/2021 05:52:13 PM,Estelí (Alcaldía Estelí) - Unidad de Adquisición ESTELI,"Maquinaria y equipo para manejo de materiales (24100000), Maquinaria y equipo pesado de construcción (22100000), Servicios de construcción general (72130000)
Contratación a Todo Costo, para Apertura y Mantenimiento de Calles en Lotificación Bismarck Martínez, Proyecto: Bismarck Martínez (Obras Complementarias)."
COMPRA POR COTIZACION MENOR,Ejecución,,01/02/2021,05/02/2021 10:00:00 AM,28/12/2021 04:10:10 PM,Estelí (Alcaldía Estelí) - Unidad de Adquisición ESTELI,"Maquinaria y equipo pesado de construcción (22100000), Transporte de personas, correo y carga (78100000)
Contratación para la explotación de banco y acarreo de material selecto para revestimiento de calles en Lotificación Bismarck Martínez, proyecto; Bismarck Martínez, Obras Complementarias."
CONCURSO,Ejecución,,06/10/2022,14/10/2022 10:00:00 AM,04/01/2023 11:34:20 AM,Managua (Alcaldía Managua) - Unidad de Adquisición MANAGUA,"Servicios de construcción de edificaciones residenciales (72110000)
PROGRAMA BISMARCK MARTÍNEZ, VIVIENDA SOCIAL (COMPONENTE: DISEÑO DE URBANIZACIÓN VILLA ESPERANZA II ETAPA)"
CONCURSO,Ejecución,,30/08/2022,07/09/2022 02:00:00 PM,11/11/2022 02:58:12 PM,Managua (Alcaldía Managua) - Unidad de Adquisición MANAGUA,"Servicios de construcción general (72130000)
PROGRAMA BISMARCK MARTÍNEZ VIVIENDA SOCIAL (COMPONENTE: DISEÑO DE URBANIZACIÓN VILLA JERUSALÉN IV Y V ETAPA"
CONCURSO,Ejecución,,30/08/2022,07/09/2022 10:00:00 AM,17/11/2022 03:44:07 PM,Managua (Alcaldía Managua) - Unidad de Adquisición MANAGUA,"Servicios de construcción general (72130000)
PROGRAMA BISMARCK MARTÍNEZ VIVIENDA SOCIAL (COMPONENTE: REDISEÑO II ETAPA Y DISEÑO III ETAPA DE URBANIZACIÓN EN TERRENO CAMINO DEL RIO SECTOR SABANAGRANDE)"
LICITACION PUBLICA,Ejecución,,29/03/2022,28/04/2022 09:00:00 AM,08/08/2022 11:16:55 AM,Managua (Alcaldía Managua) - Unidad de Adquisición MANAGUA,"Servicios de construcción de edificaciones residenciales (72110000)
PROGRAMA BISMARCK MARTÍNEZ, VIVIENDA SOCIAL, URBANIZACIÓN CAMINO DEL RIO I ETAPA."
CONTRATACION SIMPLIFICADA,Ejecución,,30/08/2022,31/08/2022 05:30:00 PM,07/09/2022 02:00:39 PM,Ciudad Sandino (Alcaldía Ciudad Sandino) - Unidad de Adquisiciones Alcaldia Ciudad Sandino,"Servicios públicos (83100000)
Contratación de mano de obra, materiales y maquinaria para la ejecución del proyecto de Construcción del Sistema de Abastecimiento de Agua Potable. LOtificación Silvio Mayorga, Programa Bismarck Martínez II Fase."
COMPRA POR COTIZACION MENOR,Ejecución,,30/09/2022,03/10/2022 09:00:00 AM,11/10/2022 02:16:35 PM,El Crucero (Alcaldía El Crucero) - Unidad de Adquisición EL CRUCERO,"Equipo informático y accesorios (43210000)
Adquisición de computadora laptop para equipamiento del programa Bismarck Martínez"
COMPRA POR COTIZACION MENOR,Ejecución,,28/10/2022,31/10/2022 09:00:00 AM,27/12/2022 12:58:16 PM,San Marcos (Alcaldía San Marcos) - Unidad de Adquisición SAN MARCOS,"Servicios de apoyo a la fabricación (73150000)
Alquiler de maquinaria para terraceria de lotes y conformación de calles Bismarck Martínez I Etapa."
COMPRA POR COTIZACION MENOR,Ejecución,,11/05/2022,13/05/2022 10:00:00 AM,18/05/2022 03:42:41 PM,San José de Bocay (Alcaldía San José de Bocay) - Unidad de Adquisición SAN JOSE DE BOCAY,"Alambres, cables y arneses (26120000)
Compra de Material para instalación del Sistema Eléctrico del Barrio ""Bismarck Martínez"" de San José de Bocay"
CONTRATACION SIMPLIFICADA,Ejecución,,09/12/2022,12/12/2022 09:00:00 AM,04/01/2023 02:43:07 PM,Estelí (Alcaldía Estelí) - Unidad de Adquisición ESTELI,"CONSTRUCCIONES EN PROCESO (95900000)
CONTRATACIÓN A TODO COSTO: MEJORAMIENTO DE CALLES E INSTALACIÓN DE TUBERÍA DE AGUA POTABLE EN LA LOTIFICACIÓN BISMARCK MARTÍNEZ"
CONTRATACION SIMPLIFICADA,Ejecución,,28/07/2022,01/08/2022 10:00:00 AM,04/01/2023 03:57:45 PM,Estelí (Alcaldía Estelí) - Unidad de Adquisición ESTELI,"Transporte de personas, correo y carga (78100000), Servicios de construcción general (72130000), CONSTRUCCIONES EN PROCESO (95900000), Tierra y piedra (11110000), Maquinaria y equipo para manejo de materiales (24100000)
Contratación a Todo Costo, para Apertura y Mantenimiento de Calles en Lotificación Bismarck Martínez."
LICITACION PUBLICA,Ejecución,,09/03/2023,10/04/2023 10:00:00 AM,12/06/2023 09:28:38 AM,Managua (Alcaldía Managua) - Unidad de Adquisición MANAGUA,"CONSTRUCCIONES EN PROCESO (95900000)
PROGRAMA BISMARCK MARTÍNEZ VIVIENDA SOCIAL, (OBRAS DE MANTENIMIENTO DE CALLES DE TIERRA, URBANIZACIÓN VILLA JERUSALÉN)"
LICITACION PUBLICA,Ejecución,,06/03/2023,05/04/2023 09:00:00 AM,02/06/2023 03:05:02 PM,Managua (Alcaldía Managua) - Unidad de Adquisición MANAGUA,"CONSTRUCCIONES EN PROCESO (95900000)
PROGRAMA BISMARCK MARTÍNEZ VIVIENDA SOCIAL, (OBRAS DE MANTENIMIENTO DE CALLES DE TIERRA, URBANIZACIÓN FLOR DE PINO)"
COMPRA POR COTIZACION MAYOR,Ejecución,,01/06/2023,08/06/2023 05:00:00 PM,08/11/2023 11:19:04 AM,Ciudad Sandino (Alcaldía Ciudad Sandino) - Unidad de Adquisiciones Alcaldia Ciudad Sandino,"Estructuras y edificios permanentes (95120000)
Servicio de Construcción de la casa modelo en el Bismarck Martínez, L. Silvio Mayorga"
CONTRATACION SIMPLIFICADA,Ejecución,,13/05/2023,16/05/2023 10:00:00 AM,21/12/2023 08:56:32 AM,Ciudad Sandino (Alcaldía Ciudad Sandino) - Unidad de Adquisiciones Alcaldia Ciudad Sandino,"Recipientes y almacenamiento (24110000)
Construcción de tanque metálico con capacidad de 60,000 galones para almacenamiento de agua potable y Construcción de Base para tanque metálico para almacenamiento de agua potable con capacidad de 60,000 galones, para el proyecto Lotificación Bismarck Martínez"
COMPRA POR COTIZACION MENOR,Ejecución,,04/05/2023,08/05/2023 10:00:00 AM,06/11/2023 05:01:46 PM,Ciudad Sandino (Alcaldía Ciudad Sandino) - Unidad de Adquisiciones Alcaldia Ciudad Sandino,"Servicios de mantenimiento y reparaciones de construcciones e instalaciones (72100000)
Contratación de Mano de Obra, Materiales y Maquinaria para la ejecución del Proyecto: Construcción de Cerca de Malla Ciclón para Protección de Tanque de Almacenamiento de Agua Potable en Lotificación Bismarck Martínez"
COMPRA POR COTIZACION MENOR,Ejecución,,08/02/2023,11/02/2023 10:00:00 AM,24/11/2023 11:51:47 AM,Ciudad Sandino (Alcaldía Ciudad Sandino) - Unidad de Adquisiciones Alcaldia Ciudad Sandino,"Instalaciones de tubos y entubamientos (40170000), Equipos, suministros y componentes eléctricos (39120000), Tratamiento, suministros y eliminación de agua y aguas residuales (47100000), Distribución de fluidos y gas (40140000), Adhesivos y selladores (31200000), Fuentes de energía (26100000), Equipo de perforación y explotación de pozos (20110000), Baterías y generadores y transmisión de energía cinética (26110000), Herramientas de mano (27110000), Instrumentos de medida, observación y ensayo (41110000), Iluminación, artefactos y accesorios (39110000)
Compra de materiales para Medidores para Programa Bismarck Martínez 2 y 3"
LICITACION POR REGISTRO,Ejecución,,01/09/2023,18/09/2023 03:00:00 PM,25/09/2023 11:06:15 AM,El Crucero (Alcaldía El Crucero) - Unidad de Adquisición EL CRUCERO,"Servicios de mantenimiento y reparaciones de construcciones e instalaciones (72100000)
Construcción de obras civiles en urbanización programa Bismarck Martínez"
CONTRATACION SIMPLIFICADA,Ejecución,,26/04/2023,27/04/2023 09:00:00 AM,28/09/2023 11:38:16 AM,Mateare (Alcaldía Mateare) - Unidad de Adquisición MATEARE,"Estructuras y edificios permanentes (95120000)
CONSTRUCCION DE 30 VIVIENDAS DEL PROGRAMA BISMARCK MARTÍNEZ 2023"
LICITACION POR REGISTRO,Adjudicado,,07/09/2023,25/09/2023 02:00:00 PM,05/10/2023 04:12:33 PM,Ticuantepe (Alcaldía Ticuantepe) - Unidad de Adquisición TICUANTEPE,"Servicios de construcción de edificaciones residenciales (72110000)
CONSTRUCCIÓN DE VIVIENDAS EN EL PROGRAMA BISMARCK MARTÍNEZ"
CONTRATACION SIMPLIFICADA,Ejecución,,16/05/2023,22/05/2023 09:00:00 AM,25/05/2023 05:07:50 PM,Posoltega (Alcaldía Posoltega) - Unidad de Adquisición POSOLTEGA,"Servicios de construcción de edificaciones residenciales (72110000)
Construcción de viviendas Dignas en el Rto. Bismarck Martínez. Unidad Solicitante, Dirección de Planificación y Proyectos."
CONTRATACION SIMPLIFICADA,Ejecución,,26/06/2023,28/06/2023 10:00:00 AM,28/12/2023 05:14:51 PM,Estelí (Alcaldía Estelí) - Unidad de Adquisición ESTELI,"Estructuras prefabricadas (30200000)
Mantenimiento y revestimiento de calles, instalación de tubería de distribución y acometidas domiciliares de agua potable, lotificación Bismarck Martínez (III ETAPA)."
CONTRATACION SIMPLIFICADA,Ejecución,,06/03/2023,07/03/2023 02:00:00 PM,30/12/2023 06:40:53 PM,Estelí (Alcaldía Estelí) - Unidad de Adquisición ESTELI,"CONSTRUCCIONES EN PROCESO (95900000), Servicios de construcción general (72130000), Vías (95110000)
MANTENIMIENTO Y REVESTIMIENTO DE CALLES, INSTALACIÓN DE TUBERÍA DE DISTRIBUCIÓN Y ACOMETIDAS DOMICILIARES DE AGUA POTABLE, LOTIFICACIÓN BISMARCK MARTÍNEZ."
CONTRATACION SIMPLIFICADA,Ejecución,,14/02/2023,17/02/2023 10:00:00 AM,28/12/2023 04:22:57 PM,Estelí (Alcaldía Estelí) - Unidad de Adquisición ESTELI,"Servicios de mantenimiento y reparaciones de construcciones e instalaciones (72100000)
SERVICIO DE ALQUILER DE EXCAVADORA FASE III PARA EJECUTAR PROYECTO BISMARCK MARTÍNEZ (OBRAS COMPLEMENTARIAS)"
CONTRATACION SIMPLIFICADA,Ejecución,,25/07/2019,29/07/2019 02:00:00 PM,24/02/2020 10:51:02 AM,Managua (Alcaldía Managua) - Unidad de Adquisición MANAGUA,"Ferretería (31160000)
COMPRA DE MATERIALES VARIOS PROYECTOS BISMARCK MARTINEZ"
CONTRATACION SIMPLIFICADA,Ejecución,,28/05/2019,31/05/2019 03:00:00 PM,13/06/2019 11:42:01 AM,Ciudad Sandino (Alcaldía Ciudad Sandino) - Unidad de Adquisiciones Alcaldia Ciudad Sandino,"Estructuras y edificios permanentes (95120000)
CONTRATACIÓN DE MANO DE OBRA,MATERIALES Y MAQUINARIA PARA LA EJECUCIÓN DEL PROYECTO MEJORAMIENTO DE CALLES Y/O CAMINOS CON ADOQUIN FOMAV COMARCA CUAJACHILLO Nº1 ESCUELA LA TRINIDAD AL OESTE SOBRE EL CAMINO HACIA LA LOTIFICACION BISMARCK MARTINEZ I FASE,EXACTAMENTE 700MTS ESCUELA LA TRINIDAD CUAJACHILLO Nº 1"
COMPRA POR COTIZACION MAYOR,Adjudicado,,09/08/2019,19/08/2019 02:00:00 PM,30/10/2019 05:30:27 PM,Tipitapa (Alcaldía Tipitapa) - Unidad de Adquisición TIPITAPA,"Equipo de perforación y explotación de pozos (20110000), Servicios de mantenimiento y construcción de comercio especializado (72150000)
PERFORACIÓN DE POZOS Y CONSTRUCCIÓN DE LOS SISTEMAS DE ABASTECIMIENTO DE AGUA POTABLE EN EL PROYECTO DE LOTIFICACION BISMARCK MARTINEZ."
COMPRA POR COTIZACION MENOR,Ejecución,,01/08/2019,05/08/2019 10:00:00 AM,16/08/2019 12:08:58 PM,Tipitapa (Alcaldía Tipitapa) - Unidad de Adquisición TIPITAPA,"Combustibles (15100000)
ADQUISICIÓN DE COMBUSTIBLE DIESEL / PRIMERA ETAPA DE URBANIZACION BISMARCK MARTINEZ"
CONTRATACION SIMPLIFICADA,Ejecución,,24/05/2019,27/05/2019 09:00:00 AM,09/01/2020 10:49:41 AM,Tipitapa (Alcaldía Tipitapa) - Unidad de Adquisición TIPITAPA,"Servicios inmobiliarios (80130000)
COMPRA DE TERRENO PARA EL PROGRAMA BISMARCK MARTINEZ LOTES PARA UNA VIVIENDA DIGNA Y SEGURA."
COMPRA POR COTIZACION MENOR,Ejecución,,15/04/2019,22/04/2019 10:00:00 AM,16/05/2019 03:04:53 PM,Tipitapa (Alcaldía Tipitapa) - Unidad de Adquisición TIPITAPA,"Equipo informático y accesorios (43210000)
EQUIPAMIENTO TECNOLOGICO / ESCUELA TECNOLOGICA BISMARCK ABURTO"
CONTRATACION SIMPLIFICADA,Adjudicado,,12/12/2019,16/12/2019 10:00:00 AM,17/12/2019 04:42:07 PM,Matagalpa (Alcaldía Matagalpa) - Unidad de Adquisición MATAGALPA,"Servicios de apoyo a la fabricación (73150000)
alquiler de retroexcavadora cargado al proyecto . PROGRAMA BISMARCK MARTÍNEZ - LOTIFICACION HEROES DE LA PAZ"
CONTRATACION SIMPLIFICADA,Adjudicado,,27/11/2019,02/12/2019 10:00:00 AM,13/03/2020 11:29:03 AM,Matagalpa (Alcaldía Matagalpa) - Unidad de Adquisición MATAGALPA,"Servicios de mantenimiento y reparaciones de construcciones e instalaciones (72100000)
construcción de linea de distribución de agua potable para el proyecto PROGRAMA BISMARCK MARTÍNEZ - LOTIFICACION HEROES DE LA PAZ"
CONTRATACION SIMPLIFICADA,Adjudicado,,15/11/2019,19/11/2019 10:00:00 AM,02/12/2019 11:19:51 AM,Matagalpa (Alcaldía Matagalpa) - Unidad de Adquisición MATAGALPA,"Adhesivos y selladores (31200000), Distribución de fluidos y gas (40140000), Instrumentos de medida, observación y ensayo (41110000), Ferretería (31160000)
compra de materiales ferreteros para el proyecto PROGRAMA BISMARCK MARTÍNEZ - LOTIFICACION HEROES DE LA PAZ"
CONTRATACION SIMPLIFICADA,Adjudicado,,25/10/2019,29/10/2019 10:00:00 AM,18/11/2019 09:19:55 AM,Matagalpa (Alcaldía Matagalpa) - Unidad de Adquisición MATAGALPA,"Servicios de maquinado y procesado (73180000)
servicio a todo costo de reconstrucción de tanque de almacenamiento de agua potable para el proyecto PROGRAMA BISMARCK MARTÍNEZ - LOTIFICACION HEROES DE LA PAZ"
CONTRATACION SIMPLIFICADA,Adjudicado,,18/10/2019,22/10/2019 10:00:00 AM,06/11/2019 02:58:04 PM,Matagalpa (Alcaldía Matagalpa) - Unidad de Adquisición MATAGALPA,"Componentes estructurales y formas básicas (30100000)
compra de materiales ferreteros para el proyecto PROGRAMA BISMARCK MARTÍNEZ - LOTIFICACION HEROES DE LA PAZ"
CONTRATACION SIMPLIFICADA,Adjudicado,,17/10/2019,21/10/2019 10:00:00 AM,06/11/2019 03:43:23 PM,Matagalpa (Alcaldía Matagalpa) - Unidad de Adquisición MATAGALPA,"Tierra y piedra (11110000)
compra de materiales de construcción para el proyecto PROGRAMA BISMARCK MARTÍNEZ - LOTIFICACION HEROES DE LA PAZ"
COMPRA POR COTIZACION MENOR,Ejecución,,18/07/2019,22/07/2019 08:00:00 AM,23/07/2019 08:29:11 AM,Ocotal (Alcaldía Ocotal) - Unidad de Adquisición OCOTAL,"Etiquetado y accesorios (55120000)
ELABORACIÓN DE ROTULO PARA PROYECTO BISMARCK MARTINEZ"
CONTRATACION SIMPLIFICADA,Ejecución,,24/05/2019,31/05/2019 10:00:00 AM,03/06/2019 04:30:40 PM,Ocotal (Alcaldía Ocotal) - Unidad de Adquisición OCOTAL,"Servicios inmobiliarios (80130000)
COMPRA DE TERRENO PARA LOTIFICACION BISMARCK MARTÍNEZ"
LICITACION PUBLICA,Ejecución,,01/10/2020,03/11/2020 10:15:00 AM,30/12/2020 02:57:24 PM,Managua (Alcaldía Managua) - Unidad de Adquisición MANAGUA,"Servicios de construcción de edificaciones no residenciales (72120000)
CONSTRUCCIÓN, MANTENIMIENTO Y REPARACIÓN DE TANQUE - SERVICIOS DE CONSTRUCCION DE TANQUE DE ALMACENAMIENTO DE AGUA POTABLE - LOTIFICACION BISMARCK MARTINEZ, VILLA JERUSALEN, CAPACIDAD 520 M3."
LICITACION PUBLICA,Ejecución,,17/08/2020,21/09/2020 10:45:00 AM,30/12/2020 05:21:44 PM,Managua (Alcaldía Managua) - Unidad de Adquisición MANAGUA,"Estructuras y edificios permanentes (95120000)
SERVICIOS DE CONSTRUCCIÓN DE POZO PARA ABASTECIMIENTO DE AGUA POTABLE - LOTIFICACIÓN BISMARCK MARTÍNEZ, VILLA JERUSALÉN"
LICITACION PUBLICA,Ejecución,,16/07/2020,18/08/2020 09:00:00 AM,29/12/2020 03:23:50 PM,Managua (Alcaldía Managua) - Unidad de Adquisición MANAGUA,"Servicios de construcción de edificaciones no residenciales (72120000)
PROGRAMA DE VIVIENDAS SOCIAL BISMARCK MARTINEZ COMPONENTE 3: CONSTRUCCION DE VIVIENDAS SOCIALES SEGUNDA ETAPA"
LICITACION PUBLICA,Ejecución,,25/06/2020,27/07/2020 09:00:00 AM,29/12/2020 02:49:24 PM,Managua (Alcaldía Managua) - Unidad de Adquisición MANAGUA,"Servicios de construcción general (72130000)
PROGRAMA DE VIVIENDAS SOCIAL BISMARCK MARTÍNEZ COMPONENTE 2: LOTIFICACIÓN (OBRAS HORIZONTALES)"
COMPRA POR COTIZACION MENOR,Ejecución,,10/09/2020,16/09/2020 10:00:00 AM,21/10/2020 11:34:36 AM,Ciudad Sandino (Alcaldía Ciudad Sandino) - Unidad de Adquisiciones Alcaldia Ciudad Sandino,"Materiales estructurales (30260000), Materiales de afilado pulido y alisado (31190000), Hormigón, cemento y yeso (30110000), Ferretería (31160000), Tierra y piedra (11110000), Componentes estructurales y formas básicas (30100000)
Compra de Materiales para el proyecto Construcción de Monumento para Lotificación Programa Bismarck Martínez"
LICITACION POR REGISTRO,Adjudicado,,04/11/2020,13/11/2020 03:00:00 PM,11/12/2020 09:00:41 AM,El Crucero (Alcaldía El Crucero) - Unidad de Adquisición EL CRUCERO,"Servicios de mantenimiento y reparaciones de construcciones e instalaciones (72100000)
Se realizara la construcción de 6 casas en el Programa Bismarck Martínez en la Lotificación William Morales Rodríguez"
COMPRA POR COTIZACION MENOR,Adjudicado,,13/11/2020,18/11/2020 02:00:00 PM,01/12/2020 11:12:18 AM,Tipitapa (Alcaldía Tipitapa) - Unidad de Adquisición TIPITAPA,"Servicios de mantenimiento y reparaciones de construcciones e instalaciones (72100000), Componentes estructurales y formas básicas (30100000), Equipos, suministros y componentes eléctricos (39120000)
ELECTRIFICACION CON CORRIENTE TRIFASICA DE LA ESTACION DE BOMBEO/PROYECTO SEGUNDA ETAPA DE LA CONSTRUCCION DEL SISTEMA DE AGUA POTABLE EN EL PROYECTO LOTIFICACION BISMARCK MARTINEZ."
COMPRA POR COTIZACION MENOR,Adjudicado,,23/09/2020,28/09/2020 09:30:00 AM,04/07/2021 01:54:41 PM,Tipitapa (Alcaldía Tipitapa) - Unidad de Adquisición TIPITAPA,"Iluminación, artefactos y accesorios (39110000), Lámparas y bombillas y componentes para lámparas (39100000), Equipos, suministros y componentes eléctricos (39120000), Pinturas y bases y acabados (31210000), Alambres, cables y arneses (26120000), Suministros de aseo y limpieza (47130000), Puertas y ventanas y vidrio (30170000), Generación de energía (26130000), Ferretería (31160000), Tierra y piedra (11110000), Productos de construcción estructurales (30130000), Productos no comestibles de planta y silvicultura (11120000), Materia prima en placas o barras labradas (31230000), Componentes estructurales y formas básicas (30100000), Maquinaria, equipo y suministros para talleres (23170000), Adhesivos y selladores (31200000)
ADQUISICION DE MATERIALES FERRETEROS PARA EL PROYECTO SEGUNDA ETAPA DE LA CONSTRUCCION DEL SISTEMA DE AGUA POTABLE EN EL PROYECTO DE LOTIFICACION BISMARCK MARTINEZ."
